index,Address,Category,City,Country,Latitude,Longitude,Name,Country2,City2,Query
0,,Café,Antofagasta,Chile,-23.648124810163377,-70.39752516467271,Rombos Café,Chile,Antofagasta,coffee
0,Balmaceda 2355,Café,Antofagasta,Chile,-23.645080241034922,-70.40323101253892,Le Coin,Chile,Antofagasta,coffee
0,Mall Plaza Antofagasta,Coffee Shop,,Chile,-23.645103,-70.40318,Doggis Cafe,Chile,Antofagasta,coffee
0,Capitán Arturo Prat Chacón 645,Café,Antofagasta,Chile,-23.649098417714246,-70.39615065252202,Raconto,Chile,Antofagasta,coffee
0,Prat 482,Coffee Shop,Antofagasta,Chile,-23.647740632907993,-70.39739320939246,Café del Centro,Chile,Antofagasta,coffee
0,Mall Antofagasta,Café,Antofagasta,Chile,-23.644935797922773,-70.40329302421183,McCafé,Chile,Antofagasta,coffee
0,Bolívar 255,General Entertainment,Antofagasta,Chile,-23.644841026716687,-70.39667056382599,Feria Internacional del Libro (Filzic),Chile,Antofagasta,entertainment
0,,General Entertainment,Antofagasta,Chile,-23.63647747591051,-70.39591319818253,Sportlife Sede Lider,Chile,Antofagasta,entertainment
0,,General Entertainment,,Chile,-23.646382006828645,-70.4041710973903,Sitio Cero,Chile,Antofagasta,entertainment
0,Mall Plaza,General Entertainment,Antofagasta,Chile,-23.645546302512198,-70.402447209103,Happyland Park Mall Plaza,Chile,Antofagasta,entertainment
0,Mall Plaza Antofagasta,General Entertainment,Antofagasta,Chile,-23.64469735408898,-70.40335271414644,Biblioteca Viva Antofagasta,Chile,Antofagasta,entertainment
0,Latorre 2535,General Entertainment,Antofagasta,Chile,-23.64830841318341,-70.39781783828691,"Casa de la Cultura ""Andrés Sabella""",Chile,Antofagasta,entertainment
0,,General Entertainment,Antofagasta,Chile,-23.63647747591051,-70.39591319818253,Sportlife Sede Lider,Chile,Antofagasta,entertainment
0,,General Entertainment,,Chile,-23.646382006828645,-70.4041710973903,Sitio Cero,Chile,Antofagasta,entertainment
0,Mall Plaza,General Entertainment,Antofagasta,Chile,-23.645546302512198,-70.402447209103,Happyland Park Mall Plaza,Chile,Antofagasta,entertainment
0,Mall Plaza Antofagasta,General Entertainment,Antofagasta,Chile,-23.64469735408898,-70.40335271414644,Biblioteca Viva Antofagasta,Chile,Antofagasta,entertainment
0,Latorre 2535,General Entertainment,Antofagasta,Chile,-23.64830841318341,-70.39781783828691,"Casa de la Cultura ""Andrés Sabella""",Chile,Antofagasta,entertainment
0,Manuel Antonio Matta 2617,Paper / Office Supplies Store,Antofagasta,Chile,-23.649454462403096,-70.39563906089951,HOLA Timbres Store,Chile,Antofagasta,shops
0,Juan Jose Latorre 2398,Video Game Store,Antofagasta,Chile,-23.64944706687587,-70.39917283957578,Zmart,Chile,Antofagasta,shops
0,Iquique 4772,Farmers Market,Antofagasta,Chile,-23.62679624438961,-70.39337838120582,Vega Central,Chile,Antofagasta,shops
0,,Fish Market,Antofagasta,Chile,-23.64126173569952,-70.39711529196109,Terminal Pesquero,Chile,Antofagasta,shops
0,Balmaceda 2355,Candy Store,Antofagasta,Chile,-23.646295730045804,-70.40222112133418,La Fête,Chile,Antofagasta,shops
0,Cardenal Carlos Oviedo Cavada 5319,Pharmacy,Antofagasta,Chile,-23.623660598314615,-70.38500593977365,Farmacias Cruz Verde,Chile,Antofagasta,shops
