city,cityLabel,population,pa_s,pa_sLabel,coordenadas
http://www.wikidata.org/entity/Q162880,Dezhou,5470000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(116.266389 37.433056)
http://www.wikidata.org/entity/Q162880,Dezhou,5470000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(116.31046 37.45127)
http://www.wikidata.org/entity/Q37995,Yangon,5430000,http://www.wikidata.org/entity/Q836,Myanmar,Point(96.15 16.8)
http://www.wikidata.org/entity/Q349985,Suihua,5420000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(126.98079 46.6384)
http://www.wikidata.org/entity/Q349985,Suihua,5420000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(126.99508 46.63954)
http://www.wikidata.org/entity/Q363326,Yichun,5400000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(114.38303 27.80412)
http://www.wikidata.org/entity/Q363326,Yichun,5400000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(114.4 27.83333)
http://www.wikidata.org/entity/Q59100,Shantou,5389328,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(116.694111 23.373472)
http://www.wikidata.org/entity/Q205922,Qiqihar,5367003,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(123.95124 47.33981)
http://www.wikidata.org/entity/Q205922,Qiqihar,5367003,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(123.96045 47.34088)
http://www.wikidata.org/entity/Q1963,Khartoum,5345000,http://www.wikidata.org/entity/Q1049,Sudan,Point(32.52654 15.60308)
http://www.wikidata.org/entity/Q59100,Shantou,5319028,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(116.694111 23.373472)
http://www.wikidata.org/entity/Q126995,Weinan,5300000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(109.46838 34.49962)
http://www.wikidata.org/entity/Q126995,Weinan,5300000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(109.50891 34.50355)
http://www.wikidata.org/entity/Q57787,Suqian,5290000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(118.283056 33.933056)
http://www.wikidata.org/entity/Q197519,Zhaotong,5252000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(103.71667 27.31667)
http://www.wikidata.org/entity/Q197519,Zhaotong,5252000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(103.71445 27.33284)
http://www.wikidata.org/entity/Q68481,Fuzhou,5245000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(119.30611 26.06139)
http://www.wikidata.org/entity/Q68481,Fuzhou,5245000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(119.291666666 26.076944444)
http://www.wikidata.org/entity/Q125378,Pudong,5187200,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(121.539722222 31.223055555)
http://www.wikidata.org/entity/Q151958,Yueyang,5158000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(113.1309 29.36472)
http://www.wikidata.org/entity/Q266014,Yongzhou,5128000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(111.59527 26.4515)
http://www.wikidata.org/entity/Q360769,Bozhou,5100000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(115.77422 33.86264)
http://www.wikidata.org/entity/Q360769,Bozhou,5100000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(115.77028 33.87722)
http://www.wikidata.org/entity/Q189633,Guilin,5046000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(110.283333333 25.266666666)
http://www.wikidata.org/entity/Q171943,Nanchang,5042565,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(115.85306 28.68396)
http://www.wikidata.org/entity/Q171943,Nanchang,5042565,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(115.887222 28.684167)
http://www.wikidata.org/entity/Q497341,Xianyang,5040000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(108.70261 34.33778)
http://www.wikidata.org/entity/Q497341,Xianyang,5040000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(108.716667 34.35)
http://www.wikidata.org/entity/Q57931,Taizhou,5031000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(119.9 32.483056)
http://www.wikidata.org/entity/Q57931,Taizhou,5031000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(119.90812 32.49069)
http://www.wikidata.org/entity/Q42956,Harbin,5015000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(126.633333333 45.75)
http://www.wikidata.org/entity/Q59184,Meizhou,5001000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(116.11768 24.28859)
http://www.wikidata.org/entity/Q59184,Meizhou,5001000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(116.11913 24.29977)
http://www.wikidata.org/entity/Q3805,Amman,4995000,http://www.wikidata.org/entity/Q810,Jordan,Point(35.933333333 31.95)
http://www.wikidata.org/entity/Q1515,Abidjan,4980000,http://www.wikidata.org/entity/Q1008,Ivory Coast,Point(-4.026666666 5.336388888)
http://www.wikidata.org/entity/Q11462,Surabaya,4975000,http://www.wikidata.org/entity/Q252,Indonesia,Point(112.737777777 -7.245833333)
http://www.wikidata.org/entity/Q426130,Mianyang,4945000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(104.73847 31.46688)
http://www.wikidata.org/entity/Q42666,Shaoxing,4912239,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(120.583333333 30.0)
http://www.wikidata.org/entity/Q73073,Yuncheng,4860000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(110.99278 35.02306)
http://www.wikidata.org/entity/Q73073,Yuncheng,4860000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(110.99796 35.03042)
http://www.wikidata.org/entity/Q3130,Sydney,4840600,http://www.wikidata.org/entity/Q408,Australia,Point(151.2 -33.866666666)
http://www.wikidata.org/entity/Q404116,Pingdingshan,4838000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(113.29992 33.73499)
http://www.wikidata.org/entity/Q404116,Pingdingshan,4838000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(113.30119 33.73847)
http://www.wikidata.org/entity/Q57818,Huai'an,4799889,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(119.133056 33.5)
http://www.wikidata.org/entity/Q57756,Lianyungang,4790000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(119.1801 34.59057)
http://www.wikidata.org/entity/Q363262,Ji'an,4759000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(114.97927 27.11716)
http://www.wikidata.org/entity/Q216077,Jiujiang,4728778,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(116.00206 29.70475)
http://www.wikidata.org/entity/Q216077,Jiujiang,4728778,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(115.987222 29.738056)
http://www.wikidata.org/entity/Q1960,Dar es Salaam,4715000,http://www.wikidata.org/entity/Q924,Tanzania,Point(39.283333333 -6.8)
